fclt_name,sgnr_nm,legalemd_nm
부산광역시립명장도서관,동래구,명장동
부산광역시립부전도서관,부산진구,부전동
부산광역시립시민도서관,부산진구,초읍동
부산광역시립중앙도서관분관부산영어도서관,부산진구,부전동
부산광역시립구포도서관,북구,구포동
부산광역시립사하도서관,사하구,괴정동
부산광역시립구덕도서관,서구,서대신동3가
부산광역시립연산도서관,연제구,연산동
부산광역시립중앙도서관,중구,보수동1가
부산광역시립반송도서관,해운대구,반송동
부산광역시립해운대도서관,해운대구,좌동
맨발동무도서관,북구,화명동
느티나무도서관,해운대구,동천동
강서기적의도서관,강서구,신도림동
부산강서도서관,강서구,대저2동
금정도서관,금정구,청룡동
기장도서관,기장군,기장읍 동부리
기장디지털도서관,기장군,기장읍 신천리
대라다목적도서관,기장군,기장읍 대라리
정관도서관,기장군,정관읍 방곡리
정관어린이도서관,기장군,정관읍 매학리
남구도서관,남구,대연동
부산광역시 남구 분포도서관,남구,용호동
동구도서관,동구,범일동
동래읍성도서관,동래구,칠산동
안락누리도서관,동래구,안락동
부산진구어린이청소년도서관,부산진구,부암동
금곡도서관,북구,금곡동
부산북구디지털도서관,북구,만덕동
화명도서관,북구,화명동
사상도서관,사상구,덕포동
다대도서관,사하구,다대동
수영구도서관,수영구,남천동
수영구도서관 망미분관,수영구,망미동
연제도서관,연제구,연산동
영도도서관,영도구,동삼동
영도어린이영어도서관,영도구,수정동
반여도서관,해운대구,반여동
재송어린이도서관,해운대구,재송동
해운대인문학도서관,해운대구,반여동
대구광역시립남부도서관,남구,대명동
대구광역시립두류도서관,달서구,두류동
대구광역시립달성도서관,달성군,현풍읍 부리
대구광역시립동부도서관,동구,신암동
대구광역시립북부도서관,북구,침산동
대구광역시립서부도서관,서구,평리동
대구광역시립수성도서관,수성구,만촌동
대구광역시립중앙도서관,중구,동인동2가
새벗도서관,달서구,상인동
푸른초장공공도서관,달서구,파호동
비전도서관,달성군,당감동
한들마을도서관,동구,지묘동
꿈꾸는마을도서관 도토리,북구,구암동
더불어 숲,북구,김량장동
사립공공 연암도서관,북구,산격동
대명어울림도서관,남구,대명동
이천 어울림 도서관,남구,이천동
달서가족문화도서관,달서구,대천동
달서구립도원도서관,달서구,도원동
달서구립본리도서관,달서구,본리동
달서구립성서도서관,달서구,이곡동
달서어린이도서관,달서구,상인동
달성군립도서관,달성군,다사읍 죽곡리
대구 동구 신천도서관,동구,신천동
동구구립 안심도서관,동구,율하동
구수산도서관,북구,읍내동
대구광역시북구대현도서관,북구,대현동
대구북구태전도서관,북구,태전동
비원도서관,서구,비산동
서구 비산도서관,서구,비산동
서구어린이도서관,서구,정림동
원고개도서관,서구,비산동
수성구립 물망이도서관,수성구,수성동3가
수성구립 용학도서관,수성구,범물동
수성구립 책숲길도서관,수성구,중동
수성구립 파동도서관,수성구,파동
수성구립고산도서관,수성구,신매동
수성구립범어도서관,수성구,범어동
2.28민주운동기념회관(도서관),중구,남산동
강화군립도서관,강화군,강화읍 관청리
내가도서관,강화군,내가면 고천리
동양도서관,계양구,동양동
서운도서관,계양구,서운동
작전도서관,계양구,작전동
효성도서관,계양구,효성동
관교어린이도서관,남구,관교동
독정골어린이도서관,남구,용현동
숭의어린이도서관,남구,숭의동
쑥골어린이도서관,남구,도화동
인천광역시립수봉도서관,남구,도화동
장사래어린이도서관,남구,숭의동
학나래도서관,남구,학익동
서창도서관,남동구,서창동
소래도서관,남동구,논현동
인천광역시미추홀도서관,남동구,구월동
송림도서관,동구,송림동
갈산도서관,부평구,갈산동
부개도서관,부평구,부개동
부개어린이도서관,부평구,부개동
부평기적의도서관,부평구,부개동
삼산도서관,부평구,삼산동
청천도서관,부평구,청천동
검단도서관,서구,마전동
검암도서관,서구,검암동
석남도서관,서구,석남동
신석도서관,서구,석남동
심곡도서관,서구,심곡동
청라국제도서관,서구,청라동
청라호수도서관,서구,청라동
선학별빛도서관,연수구,선학동
송도국제기구도서관,연수구,송도동
송도국제어린이도서관,연수구,송도동
연수어린이도서관,연수구,동춘동
연수청학도서관,연수구,청학동
해돋이도서관,연수구,송도동
백령도서관,옹진군,백령면 진촌리
꿈벗도서관,중구,송학동3가
영종하늘도서관,중구,중산동
인천광역시 율목도서관,중구,율목동
인천광역시립영종도서관,중구,운서동
광주송정도서관,광산구,소촌동
금호평생교육관,남구,월산동
광주중앙도서관,동구,동명동
광주중앙도서관 분관 석봉도서관,북구,매곡동
광주학생교육문화회관,서구,쌍촌동
광주학생독립운동기념회관,서구,화정동
신가도서관,광산구,신가동
운남어린이도서관,광산구,운남동
이야기꽃도서관,광산구,선암동
장덕도서관,광산구,장덕동
첨단도서관,광산구,월계동
광주광역시립사직도서관,남구,양림동
광주남구문화정보도서관,남구,봉선동
광주남구푸른길도서관,남구,주월동
남구 청소년도서관,남구,가좌동
계림꿈나무도서관,동구,계림동
광주광역시립산수도서관,동구,산수동
광주광역시립무등도서관,북구,우산동
광주북구운암도서관,북구,운암동
광주북구일곡도서관,북구,일곡동
광주서구공공도서관,서구,금호동
상록도서관,서구,농성동
어린이생태학습도서관,서구,풍암동
대전학생교육문화원,중구,목동
대전학생교육문화원 부설 산성도서관,중구,사정동
가양도서관,동구,가양동
대전동구가오도서관,동구,가오동
대전동구성남도서관,동구,성남동
대전동구용운도서관,동구,용운동
대전동구판암도서관,동구,판암동
무지개도서관,동구,복대동
자양도서관,동구,자양동
홍도도서관,동구,홍도동
가수원도서관,서구,가수원동
갈마도서관,서구,갈마동
대전둔산도서관,서구,둔산동
서구어린이도서관,서구,정림동
관평도서관,유성구,관평동
구암도서관,유성구,구암동
구즉도서관,유성구,송강동
노은도서관,유성구,지족동
유성도서관,유성구,가정동
진잠도서관,유성구,원내동
대전광역시한밭도서관,중구,문화동
울산남부도서관,남구,옥동
울산동부도서관,동구,서부동
울주도서관,울주군,언양읍 어음리
울산중부도서관,중구,성남동
옥현어린이도서관,남구,무거동
울산남구도산도서관,남구,야음동
울산남구신복도서관,남구,무거동
울산도서관,남구,여천동
농소1동도서관,북구,호계동
매곡도서관,북구,매곡동
명촌어린이도서관,북구,명촌동
염포양정도서관,북구,염포동
울산농소3동도서관,북구,천곡동
울산북구기적의도서관,북구,중산동
울산북구중앙도서관,북구,연암동
울주선바위도서관,울주군,범서읍 구영리
