mlsfc,fclt_name,sgnr_nm,legalemd_nm
공공도서관,정릉도서관,성북구,정릉동
공공도서관,종암동새날도서관,성북구,종암동
공공도서관,해오름도서관,성북구,풍덕천동
공공도서관,거마도서관,송파구,거여동
공공도서관,돌마리도서관,송파구,석촌동
공공도서관,소나무언덕2호작은도서관,송파구,잠실동
공공도서관,소나무언덕3호 작은도서관,송파구,마천동
공공도서관,소나무언덕잠실본동작은도서관,송파구,잠실동
공공도서관,송파글마루도서관,송파구,장지동
공공도서관,송파어린이도서관,송파구,잠실동
공공도서관,송파어린이영어작은도서관,송파구,잠실동
공공도서관,송파위례도서관,송파구,장지동
공공도서관,갈산도서관,양천구,갈산동
공공도서관,미감도서관,양천구,목동
공공도서관,방아다리문학도서관,양천구,신월동
공공도서관,양천구 영어특성화도서관,양천구,신정동
공공도서관,대림정보문화도서관,영등포구,대림동
공공도서관,문래정보문화도서관,영등포구,문래동3가
공공도서관,선유정보문화도서관,영등포구,양평동3가
공공도서관,용산 꿈나무도서관,용산구,원효로1가
공공도서관,청파도서관,용산구,서계동
공공도서관,구립구산동도서관마을,은평구,구산동
공공도서관,구립은평뉴타운도서관,은평구,진관동
공공도서관,구립증산정보도서관,은평구,증산동
공공도서관,내를건너서숲으로도서관,은평구,신사동
공공도서관,상림마을작은도서관,은평구,진관동
공공도서관,은평구립도서관,은평구,불광동
공공도서관,응암정보도서관,은평구,응암동
공공도서관,아름꿈 도서관,종로구,숭인동
공공도서관,어린이청소년국학도서관,종로구,명륜3가
공공도서관,청운문학도서관,종로구,청운동
공공도서관,가온도서관,중구,신당동
공공도서관,남산타운문화체육센터 어린이도서관,중구,신당동
공공도서관,서울도서관,중구,태평로1가
공공도서관,어울림도서관,중구,신당동
공공도서관,양원숲속도서관,중랑구,망우동
공공도서관,중랑구립면목정보도서관,중랑구,면목동
공공도서관,중랑구립정보도서관,중랑구,묵동
공공도서관,중랑숲어린이도서관,중랑구,망우동
공공도서관,부산광역시립서동도서관,금정구,서동
공공도서관,부산광역시립중앙도서관수정분관,동구,수정동
공공도서관,부산광역시립명장도서관,동래구,명장동
공공도서관,부산광역시립부전도서관,부산진구,부전동
공공도서관,부산광역시립시민도서관,부산진구,초읍동
공공도서관,부산광역시립중앙도서관분관부산영어도서관,부산진구,부전동
공공도서관,부산광역시립구포도서관,북구,구포동
공공도서관,부산광역시립사하도서관,사하구,괴정동
공공도서관,부산광역시립구덕도서관,서구,서대신동3가
공공도서관,부산광역시립연산도서관,연제구,연산동
공공도서관,부산광역시립중앙도서관,중구,보수동1가
공공도서관,부산광역시립반송도서관,해운대구,반송동
공공도서관,부산광역시립해운대도서관,해운대구,좌동
공공도서관,맨발동무도서관,북구,화명동
공공도서관,느티나무도서관,해운대구,동천동
공공도서관,강서기적의도서관,강서구,신도림동
공공도서관,부산강서도서관,강서구,대저2동
공공도서관,금정도서관,금정구,청룡동
공공도서관,기장도서관,기장군,기장읍 동부리
공공도서관,기장디지털도서관,기장군,기장읍 신천리
공공도서관,대라다목적도서관,기장군,기장읍 대라리
공공도서관,정관도서관,기장군,정관읍 방곡리
공공도서관,정관어린이도서관,기장군,정관읍 매학리
공공도서관,남구도서관,남구,대연동
공공도서관,부산광역시 남구 분포도서관,남구,용호동
공공도서관,동구도서관,동구,범일동
공공도서관,동래읍성도서관,동래구,칠산동
공공도서관,안락누리도서관,동래구,안락동
공공도서관,부산진구어린이청소년도서관,부산진구,부암동
공공도서관,금곡도서관,북구,금곡동
공공도서관,부산북구디지털도서관,북구,만덕동
공공도서관,화명도서관,북구,화명동
공공도서관,사상도서관,사상구,덕포동
공공도서관,다대도서관,사하구,다대동
공공도서관,수영구도서관,수영구,남천동
공공도서관,수영구도서관 망미분관,수영구,망미동
공공도서관,연제도서관,연제구,연산동
공공도서관,영도도서관,영도구,동삼동
공공도서관,영도어린이영어도서관,영도구,수정동
공공도서관,반여도서관,해운대구,반여동
공공도서관,재송어린이도서관,해운대구,재송동
공공도서관,해운대인문학도서관,해운대구,반여동
공공도서관,대구광역시립남부도서관,남구,대명동
공공도서관,대구광역시립두류도서관,달서구,두류동
공공도서관,대구광역시립달성도서관,달성군,현풍읍 부리
공공도서관,대구광역시립동부도서관,동구,신암동
공공도서관,대구광역시립북부도서관,북구,침산동
공공도서관,대구광역시립서부도서관,서구,평리동
공공도서관,대구광역시립수성도서관,수성구,만촌동
공공도서관,대구광역시립중앙도서관,중구,동인동2가
공공도서관,새벗도서관,달서구,상인동
공공도서관,푸른초장공공도서관,달서구,파호동
공공도서관,비전도서관,달성군,당감동
공공도서관,한들마을도서관,동구,지묘동
공공도서관,꿈꾸는마을도서관 도토리,북구,구암동
공공도서관,더불어 숲,북구,김량장동
공공도서관,사립공공 연암도서관,북구,산격동
공공도서관,대명어울림도서관,남구,대명동
공공도서관,이천 어울림 도서관,남구,이천동
공공도서관,달서가족문화도서관,달서구,대천동
공공도서관,달서구립도원도서관,달서구,도원동
공공도서관,달서구립본리도서관,달서구,본리동
공공도서관,달서구립성서도서관,달서구,이곡동
공공도서관,달서어린이도서관,달서구,상인동
공공도서관,달성군립도서관,달성군,다사읍 죽곡리
공공도서관,대구 동구 신천도서관,동구,신천동
공공도서관,동구구립 안심도서관,동구,율하동
공공도서관,구수산도서관,북구,읍내동
공공도서관,대구광역시북구대현도서관,북구,대현동
공공도서관,대구북구태전도서관,북구,태전동
공공도서관,비원도서관,서구,비산동
공공도서관,서구 비산도서관,서구,비산동
공공도서관,서구어린이도서관,서구,정림동
공공도서관,원고개도서관,서구,비산동
공공도서관,수성구립 물망이도서관,수성구,수성동3가
공공도서관,수성구립 용학도서관,수성구,범물동
공공도서관,수성구립 책숲길도서관,수성구,중동
공공도서관,수성구립 파동도서관,수성구,파동
공공도서관,수성구립고산도서관,수성구,신매동
공공도서관,수성구립범어도서관,수성구,범어동
공공도서관,2.28민주운동기념회관(도서관),중구,남산동
공공도서관,강화군립도서관,강화군,강화읍 관청리
공공도서관,내가도서관,강화군,내가면 고천리
공공도서관,동양도서관,계양구,동양동
공공도서관,서운도서관,계양구,서운동
공공도서관,작전도서관,계양구,작전동
공공도서관,효성도서관,계양구,효성동
공공도서관,관교어린이도서관,남구,관교동
공공도서관,독정골어린이도서관,남구,용현동
공공도서관,숭의어린이도서관,남구,숭의동
공공도서관,쑥골어린이도서관,남구,도화동
공공도서관,인천광역시립수봉도서관,남구,도화동
공공도서관,장사래어린이도서관,남구,숭의동
공공도서관,학나래도서관,남구,학익동
공공도서관,서창도서관,남동구,서창동
공공도서관,소래도서관,남동구,논현동
공공도서관,인천광역시미추홀도서관,남동구,구월동
공공도서관,송림도서관,동구,송림동
공공도서관,갈산도서관,부평구,갈산동
공공도서관,부개도서관,부평구,부개동
공공도서관,부개어린이도서관,부평구,부개동
공공도서관,부평기적의도서관,부평구,부개동
공공도서관,삼산도서관,부평구,삼산동
공공도서관,청천도서관,부평구,청천동
공공도서관,검단도서관,서구,마전동
공공도서관,검암도서관,서구,검암동
공공도서관,석남도서관,서구,석남동
공공도서관,신석도서관,서구,석남동
공공도서관,심곡도서관,서구,심곡동
공공도서관,청라국제도서관,서구,청라동
공공도서관,청라호수도서관,서구,청라동
공공도서관,선학별빛도서관,연수구,선학동
공공도서관,송도국제기구도서관,연수구,송도동
공공도서관,송도국제어린이도서관,연수구,송도동
공공도서관,연수어린이도서관,연수구,동춘동
공공도서관,연수청학도서관,연수구,청학동
공공도서관,해돋이도서관,연수구,송도동
공공도서관,백령도서관,옹진군,백령면 진촌리
공공도서관,꿈벗도서관,중구,송학동3가
공공도서관,영종하늘도서관,중구,중산동
공공도서관,인천광역시 율목도서관,중구,율목동
공공도서관,인천광역시립영종도서관,중구,운서동
공공도서관,광주송정도서관,광산구,소촌동
공공도서관,금호평생교육관,남구,월산동
공공도서관,광주중앙도서관,동구,동명동
공공도서관,광주중앙도서관 분관 석봉도서관,북구,매곡동
공공도서관,광주학생교육문화회관,서구,쌍촌동
공공도서관,광주학생독립운동기념회관,서구,화정동
공공도서관,신가도서관,광산구,신가동
공공도서관,운남어린이도서관,광산구,운남동
공공도서관,이야기꽃도서관,광산구,선암동
공공도서관,장덕도서관,광산구,장덕동
공공도서관,첨단도서관,광산구,월계동
공공도서관,광주광역시립사직도서관,남구,양림동
공공도서관,광주남구문화정보도서관,남구,봉선동
공공도서관,광주남구푸른길도서관,남구,주월동
공공도서관,남구 청소년도서관,남구,가좌동
공공도서관,계림꿈나무도서관,동구,계림동
공공도서관,광주광역시립산수도서관,동구,산수동
공공도서관,광주광역시립무등도서관,북구,우산동
공공도서관,광주북구운암도서관,북구,운암동
공공도서관,광주북구일곡도서관,북구,일곡동
공공도서관,광주서구공공도서관,서구,금호동
공공도서관,상록도서관,서구,농성동
공공도서관,어린이생태학습도서관,서구,풍암동
공공도서관,대전학생교육문화원,중구,목동
공공도서관,대전학생교육문화원 부설 산성도서관,중구,사정동
공공도서관,가양도서관,동구,가양동
공공도서관,대전동구가오도서관,동구,가오동
공공도서관,대전동구성남도서관,동구,성남동
공공도서관,대전동구용운도서관,동구,용운동
공공도서관,대전동구판암도서관,동구,판암동
공공도서관,무지개도서관,동구,복대동
공공도서관,자양도서관,동구,자양동
공공도서관,홍도도서관,동구,홍도동
공공도서관,가수원도서관,서구,가수원동
공공도서관,갈마도서관,서구,갈마동
공공도서관,대전둔산도서관,서구,둔산동
공공도서관,서구어린이도서관,서구,정림동
공공도서관,관평도서관,유성구,관평동
공공도서관,구암도서관,유성구,구암동
공공도서관,구즉도서관,유성구,송강동
공공도서관,노은도서관,유성구,지족동
공공도서관,유성도서관,유성구,가정동
공공도서관,진잠도서관,유성구,원내동
공공도서관,대전광역시한밭도서관,중구,문화동
공공도서관,울산남부도서관,남구,옥동
공공도서관,울산동부도서관,동구,서부동
공공도서관,울주도서관,울주군,언양읍 어음리
공공도서관,울산중부도서관,중구,성남동
공공도서관,옥현어린이도서관,남구,무거동
